time,open,high,low,close,Volume
2011/9/12 14:00,77.229,77.229,76.754,76.846,15587
2011/9/12 18:00,76.846,77.124,76.842,77.1,11696
2011/9/12 22:00,77.1,77.274,76.944,77.262,10479
2011/9/13 2:00,77.262,77.384,77.072,77.185,6386
2011/9/13 6:00,77.185,77.254,77.107,77.161,4579
2011/9/13 10:00,77.161,77.167,76.982,77.043,5101
2011/9/13 14:00,77.043,77.077,76.914,76.996,10046
2011/9/13 18:00,76.996,77.114,76.805,76.851,11421
2011/9/13 22:00,76.851,76.953,76.805,76.871,10631
2011/9/14 2:00,76.871,76.954,76.817,76.924,4968
2011/9/14 6:00,76.924,76.967,76.89,76.902,3336
2011/9/14 10:00,76.902,77.065,76.863,76.874,6151
2011/9/14 14:00,76.874,76.957,76.841,76.892,8026
2011/9/14 18:00,76.892,76.902,76.669,76.751,8987
2011/9/14 22:00,76.751,76.766,76.654,76.711,10695
2011/9/15 2:00,76.711,76.712,76.602,76.625,4344
2011/9/15 6:00,76.625,76.803,76.618,76.716,4878
2011/9/15 10:00,76.716,76.781,76.647,76.672,5223
2011/9/15 14:00,76.672,76.751,76.657,76.706,5720
2011/9/15 18:00,76.706,76.941,76.559,76.941,8115
2011/9/15 22:00,76.941,77.341,76.61,76.739,14827
2011/9/16 2:00,76.739,76.759,76.611,76.689,4526
2011/9/16 6:00,76.689,76.81,76.651,76.79,4464
2011/9/16 10:00,76.79,76.875,76.751,76.785,5022
2011/9/16 14:00,76.785,76.837,76.693,76.715,6966
2011/9/16 18:00,76.715,76.76,76.674,76.733,6398
2011/9/16 22:00,76.733,76.973,76.709,76.902,10889
2011/9/17 2:00,76.902,76.941,76.819,76.826,2774
2011/9/19 6:00,76.826,76.977,76.826,76.933,3689
2011/9/19 10:00,76.933,76.979,76.864,76.913,2014
2011/9/19 14:00,76.913,76.951,76.768,76.839,4260
2011/9/19 18:00,76.839,76.841,76.659,76.715,5947
2011/9/19 22:00,76.715,76.839,76.324,76.494,9419
2011/9/20 2:00,76.494,76.62,76.466,76.567,3657
2011/9/20 6:00,76.567,76.761,76.55,76.621,5233
2011/9/20 10:00,76.621,76.63,76.451,76.522,5924
2011/9/20 14:00,76.522,76.606,76.462,76.572,6591
2011/9/20 18:00,76.572,76.664,76.407,76.63,7808
2011/9/20 22:00,76.63,76.712,76.435,76.503,8171
2011/9/21 2:00,76.503,76.527,76.355,76.445,4536
2011/9/21 6:00,76.445,76.484,76.256,76.299,4102
2011/9/21 10:00,76.299,76.69,76.115,76.355,9839
2011/9/21 14:00,76.355,76.376,76.241,76.371,7827
2011/9/21 18:00,76.371,76.41,76.282,76.383,6304
2011/9/21 22:00,76.383,76.48,76.301,76.346,7305
2011/9/22 2:00,76.346,76.735,76.278,76.454,9840
2011/9/22 6:00,76.454,76.762,76.403,76.738,6158
2011/9/22 10:00,76.738,76.971,76.726,76.763,8317
2011/9/22 14:00,76.763,76.771,76.203,76.345,10268
2011/9/22 18:00,76.345,76.537,76.152,76.352,12541
2011/9/22 22:00,76.352,76.565,76.105,76.473,12085
2011/9/23 2:00,76.473,76.487,76.184,76.22,8677
2011/9/23 6:00,76.22,76.355,76.2,76.248,4057
2011/9/23 10:00,76.248,76.34,76.218,76.331,4451
2011/9/23 14:00,76.331,76.358,76.231,76.254,4642
2011/9/23 18:00,76.254,76.278,76.15,76.187,7032
2011/9/23 22:00,76.187,76.464,76.155,76.46,8733
2011/9/24 2:00,76.46,76.886,76.436,76.628,5073
2011/9/26 6:00,76.628,76.761,76.425,76.624,6002
2011/9/26 10:00,76.624,76.647,76.333,76.342,6190
2011/9/26 14:00,76.342,76.517,76.221,76.496,12239
2011/9/26 18:00,76.496,76.51,76.251,76.361,8589
2011/9/26 22:00,76.361,76.479,76.28,76.454,7455
2011/9/27 2:00,76.454,76.502,76.323,76.355,5200
2011/9/27 6:00,76.355,76.552,76.287,76.338,5797
2011/9/27 10:00,76.338,76.384,76.266,76.363,4500
2011/9/27 14:00,76.363,76.457,76.317,76.446,5776
2011/9/27 18:00,76.446,76.586,76.386,76.542,7160
2011/9/27 22:00,76.542,76.708,76.396,76.567,10274
2011/9/28 2:00,76.567,76.933,76.552,76.811,6758
2011/9/28 6:00,76.811,76.874,76.472,76.583,5941
2011/9/28 10:00,76.583,76.622,76.477,76.554,5791
2011/9/28 14:00,76.554,76.596,76.363,76.471,6374
2011/9/28 18:00,76.471,76.542,76.337,76.465,7007
2011/9/28 22:00,76.465,76.57,76.388,76.528,6656
2011/9/29 2:00,76.528,76.638,76.371,76.607,7860
2011/9/29 6:00,76.607,76.607,76.413,76.511,4603
