time,open,high,low,close,Volume
2021/12/21 11:00,113.667,113.747,113.631,113.729,13703
2021/12/21 15:00,113.729,113.775,113.555,113.639,23034
2021/12/21 19:00,113.639,113.779,113.62,113.765,21040
2021/12/21 23:00,113.765,114.219,113.765,114.209,29111
2021/12/22 3:00,114.209,114.21,114.061,114.073,14217
2021/12/22 7:00,114.073,114.176,113.949,114.108,14756
2021/12/22 11:00,114.108,114.152,114.036,114.126,13614
2021/12/22 15:00,114.126,114.319,114.115,114.293,17499
2021/12/22 19:00,114.293,114.336,114.164,114.18,20199
2021/12/22 23:00,114.18,114.372,114.123,114.211,30950
2021/12/23 3:00,114.211,114.25,114.077,114.085,12236
2021/12/23 7:00,114.085,114.212,114.05,114.119,12900
2021/12/23 11:00,114.119,114.179,114.104,114.178,9332
2021/12/23 15:00,114.178,114.342,114.158,114.307,15782
2021/12/23 19:00,114.307,114.414,114.248,114.302,19670
2021/12/23 23:00,114.302,114.45,114.24,114.414,27055
2021/12/24 3:00,114.414,114.467,114.376,114.38,7929
2021/12/24 7:00,114.38,114.513,114.323,114.353,22425
2021/12/24 11:00,114.353,114.449,114.301,114.39,30862
2021/12/24 15:00,114.39,114.416,114.338,114.4,26031
2021/12/24 19:00,114.4,114.403,114.338,114.368,17611
2021/12/24 23:00,114.368,114.392,114.335,114.346,65161
2021/12/25 3:00,114.346,114.362,114.323,114.333,9075
2021/12/27 7:00,114.321,114.424,114.31,114.404,11182
2021/12/27 11:00,114.404,114.472,114.377,114.429,9294
2021/12/27 15:00,114.429,114.696,114.407,114.669,14873
2021/12/27 19:00,114.669,114.752,114.609,114.742,11481
2021/12/27 23:00,114.742,114.913,114.682,114.897,18235
2021/12/28 3:00,114.897,114.913,114.843,114.859,6833
2021/12/28 7:00,114.859,114.949,114.76,114.881,13226
2021/12/28 11:00,114.881,114.928,114.806,114.876,13829
2021/12/28 15:00,114.876,114.909,114.745,114.786,12472
2021/12/28 19:00,114.786,114.896,114.71,114.726,10530
2021/12/28 23:00,114.726,114.875,114.707,114.751,21788
2021/12/29 3:00,114.751,114.838,114.751,114.811,11015
2021/12/29 7:00,114.811,114.859,114.741,114.798,15361
2021/12/29 11:00,114.798,114.889,114.746,114.874,14005
2021/12/29 15:00,114.874,115.007,114.871,114.999,14085
2021/12/29 19:00,114.999,115.038,114.831,114.949,17646
2021/12/29 23:00,114.949,114.986,114.668,114.959,32346
2021/12/30 3:00,114.959,115.004,114.926,114.936,13723
2021/12/30 7:00,114.936,115.06,114.898,115.03,12284
2021/12/30 11:00,115.03,115.126,114.98,115.117,14319
2021/12/30 15:00,115.117,115.221,115.09,115.167,17147
2021/12/30 19:00,115.167,115.189,115.02,115.177,17005
2021/12/30 23:00,115.177,115.2,115.055,115.18,23898
