time,open,high,low,close,Volume
2016/3/7 11:00,113.789,113.801,113.601,113.684,28551
2016/3/7 15:00,113.684,113.766,113.472,113.513,44799
2016/3/7 19:00,113.513,113.688,113.401,113.524,34300
2016/3/7 23:00,113.524,113.695,113.5,113.561,60478
2016/3/8 3:00,113.561,113.619,113.224,113.428,35813
2016/3/8 7:00,113.428,113.52,112.777,112.875,48196
2016/3/8 11:00,112.875,113.246,112.744,113.149,41782
2016/3/8 15:00,113.149,113.199,112.802,112.951,46216
2016/3/8 19:00,112.951,113.145,112.841,112.968,47284
2016/3/8 23:00,112.968,112.985,112.424,112.548,85647
2016/3/9 3:00,112.548,112.714,112.53,112.616,33001
2016/3/9 7:00,112.616,112.763,112.412,112.528,57806
2016/3/9 11:00,112.528,112.731,112.47,112.556,34423
2016/3/9 15:00,112.556,112.666,112.42,112.441,51245
2016/3/9 19:00,112.441,112.84,112.225,112.746,44521
2016/3/9 23:00,112.746,113.162,112.696,113.087,70566
2016/3/10 3:00,113.087,113.454,113.043,113.318,33921
2016/3/10 7:00,113.318,113.685,113.152,113.621,43887
2016/3/10 11:00,113.621,113.806,113.513,113.739,32646
2016/3/10 15:00,113.739,113.759,113.353,113.382,44760
2016/3/10 19:00,113.382,114.445,113.37,113.992,91253
2016/3/10 23:00,113.992,114.229,112.602,112.841,212128
2016/3/11 3:00,112.841,113.295,112.705,113.135,60789
2016/3/11 7:00,113.135,113.343,112.754,113.285,53950
2016/3/11 11:00,113.285,113.591,113.096,113.411,44856
2016/3/11 15:00,113.411,113.884,113.395,113.824,62538
2016/3/11 19:00,113.824,113.918,113.489,113.591,42265
2016/3/11 23:00,113.591,113.79,113.338,113.725,69530
2016/3/12 3:00,113.725,113.846,113.621,113.79,19923
2016/3/14 6:00,113.936,113.957,113.641,113.93,37701
2016/3/14 10:00,113.93,114.007,113.709,113.754,27825
2016/3/14 14:00,113.754,113.883,113.56,113.578,37006
2016/3/14 18:00,113.578,113.791,113.506,113.607,39214
2016/3/14 22:00,113.607,113.794,113.543,113.635,47572
2016/3/15 2:00,113.635,113.878,113.613,113.818,22780
2016/3/15 6:00,113.818,113.936,113.744,113.908,19795
2016/3/15 10:00,113.908,114.143,113.218,113.31,76576
2016/3/15 14:00,113.31,113.486,112.924,113.0,54949
2016/3/15 18:00,113.0,113.201,112.631,112.738,50307
2016/3/15 22:00,112.738,113.101,112.689,112.978,60060
2016/3/16 2:00,112.978,113.18,112.943,113.108,25577
2016/3/16 6:00,113.108,113.358,113.022,113.305,32594
2016/3/16 10:00,113.305,113.558,113.28,113.449,31143
2016/3/16 14:00,113.449,113.755,113.342,113.636,37544
2016/3/16 18:00,113.636,113.793,113.461,113.643,34073
