time,open,high,low,close,Volume
2018/9/21 10:00,112.506,112.766,112.479,112.73,26541
2018/9/21 14:00,112.73,112.874,112.642,112.654,38648
2018/9/21 18:00,112.654,112.784,112.584,112.721,31156
2018/9/21 22:00,112.721,112.781,112.505,112.59,48361
2018/9/22 2:00,112.59,112.651,112.502,112.553,17406
2018/9/24 6:00,112.403,112.614,112.403,112.607,9661
2018/9/24 10:00,112.607,112.633,112.558,112.584,12231
2018/9/24 14:00,112.584,112.684,112.478,112.673,27147
2018/9/24 18:00,112.673,112.705,112.581,112.641,19776
2018/9/24 22:00,112.641,112.685,112.432,112.657,49177
2018/9/25 2:00,112.657,112.838,112.656,112.771,15920
2018/9/25 6:00,112.771,112.981,112.748,112.911,42003
2018/9/25 10:00,112.911,112.942,112.806,112.873,15828
2018/9/25 14:00,112.873,112.96,112.831,112.876,38920
2018/9/25 18:00,112.876,112.898,112.741,112.825,26340
2018/9/25 22:00,112.825,112.946,112.777,112.92,29516
2018/9/26 2:00,112.92,112.98,112.898,112.968,15628
2018/9/26 6:00,112.968,113.028,112.888,112.953,39035
2018/9/26 10:00,112.953,112.968,112.892,112.912,16529
2018/9/26 14:00,112.912,112.937,112.751,112.876,28682
2018/9/26 18:00,112.876,113.033,112.856,112.987,27433
2018/9/26 22:00,112.987,113.058,112.897,112.923,29679
2018/9/27 2:00,112.923,113.138,112.631,112.712,73751
2018/9/27 6:00,112.712,112.875,112.624,112.851,30267
2018/9/27 10:00,112.851,112.9,112.657,112.732,21397
2018/9/27 14:00,112.732,112.771,112.561,112.736,46958
2018/9/27 18:00,112.736,113.016,112.684,113.006,33422
2018/9/27 22:00,113.006,113.456,112.991,113.441,47154
2018/9/28 2:00,113.441,113.468,113.333,113.358,21973
2018/9/28 6:00,113.358,113.475,113.333,113.436,30705
2018/9/28 10:00,113.436,113.635,113.436,113.528,28516
2018/9/28 14:00,113.528,113.646,113.336,113.496,40821
2018/9/28 18:00,113.496,113.524,113.317,113.384,36446
2018/9/28 22:00,113.384,113.666,113.366,113.496,41900
2018/9/29 2:00,113.496,113.714,113.49,113.678,19674
2018/10/1 6:00,113.706,113.901,113.69,113.834,22321
2018/10/1 10:00,113.834,113.963,113.816,113.931,21721
2018/10/1 14:00,113.931,114.05,113.867,113.957,27804
2018/10/1 18:00,113.957,114.033,113.884,113.924,29932
2018/10/1 22:00,113.924,114.062,113.886,113.977,36071
2018/10/2 2:00,113.977,114.01,113.898,113.898,18682
2018/10/2 6:00,113.898,114.017,113.874,113.946,23270
2018/10/2 10:00,113.946,113.976,113.823,113.962,19497
2018/10/2 14:00,113.962,113.986,113.623,113.628,49470
2018/10/2 18:00,113.628,113.898,113.604,113.801,33455
