time,open,high,low,close,Volume
2010/1/4 7:00,93.081,93.096,92.692,92.981,7660
2010/1/4 11:00,92.981,92.981,92.72,92.872,5967
2010/1/4 15:00,92.872,93.214,92.722,92.804,12737
2010/1/4 19:00,92.804,92.944,92.612,92.643,8288
2010/1/4 23:00,92.643,92.726,92.19,92.692,12603
2010/1/5 3:00,92.692,92.692,92.479,92.483,3544
2010/1/5 7:00,92.483,92.55,92.122,92.272,6441
2010/1/5 11:00,92.272,92.306,91.634,91.682,9308
2010/1/5 15:00,91.682,92.118,91.682,91.877,10235
2010/1/5 19:00,91.877,92.159,91.692,91.758,9596
2010/1/5 23:00,91.758,91.844,91.251,91.562,12722
2010/1/6 3:00,91.562,91.752,91.512,91.675,4643
2010/1/6 7:00,91.675,91.965,91.522,91.778,6964
2010/1/6 11:00,91.778,92.131,91.752,92.061,6012
2010/1/6 15:00,92.061,92.362,91.952,92.339,12373
2010/1/6 19:00,92.339,92.504,92.061,92.182,9757
2010/1/6 23:00,92.182,92.741,92.125,92.493,12598
2010/1/7 3:00,92.493,92.62,92.263,92.307,6049
2010/1/7 7:00,92.307,92.462,92.198,92.281,6050
2010/1/7 11:00,92.281,92.342,92.115,92.201,5545
2010/1/7 15:00,92.201,92.894,92.105,92.875,14920
2010/1/7 19:00,92.875,93.403,92.834,93.067,13323
2010/1/7 23:00,93.067,93.336,92.964,93.159,10663
2010/1/8 3:00,93.159,93.359,93.073,93.359,5685
2010/1/8 7:00,93.359,93.768,93.2,93.319,9763
2010/1/8 11:00,93.319,93.37,93.133,93.325,6000
2010/1/8 15:00,93.325,93.447,92.836,93.122,9916
2010/1/8 19:00,93.122,93.471,92.275,92.369,12210
2010/1/8 23:00,92.369,93.258,92.332,92.597,17122
2010/1/9 3:00,92.597,92.706,92.462,92.619,4153
2010/1/11 7:00,92.619,92.625,92.215,92.336,4377
2010/1/11 11:00,92.336,92.434,92.179,92.221,3705
2010/1/11 15:00,92.221,92.553,92.187,92.472,7785
2010/1/11 19:00,92.472,92.562,92.328,92.403,6456
2010/1/11 23:00,92.403,92.665,91.812,92.052,12955
2010/1/12 3:00,92.052,92.152,91.879,92.071,4615
2010/1/12 7:00,92.071,92.295,91.823,91.835,5916
2010/1/12 11:00,91.835,92.425,91.835,92.223,8116
2010/1/12 15:00,92.223,92.296,91.711,91.812,12227
2010/1/12 19:00,91.812,91.864,91.335,91.342,13262
2010/1/12 23:00,91.342,91.383,90.725,90.806,15894
2010/1/13 3:00,90.806,91.032,90.799,90.966,5746
2010/1/13 7:00,90.966,91.353,90.905,91.022,7523
2010/1/13 11:00,91.022,91.193,90.93,91.116,6087
2010/1/13 15:00,91.116,91.495,90.99,91.423,11847
2010/1/13 19:00,91.423,91.444,91.129,91.236,9660
2010/1/13 23:00,91.236,91.535,91.183,91.366,12857
2010/1/14 3:00,91.366,91.562,91.272,91.362,6238
2010/1/14 7:00,91.362,91.536,91.286,91.404,5399
2010/1/14 11:00,91.404,91.795,91.355,91.791,5950
2010/1/14 15:00,91.791,92.046,91.588,91.875,9766
2010/1/14 19:00,91.875,91.971,91.129,91.213,11649
2010/1/14 23:00,91.213,91.391,90.984,91.066,11975
2010/1/15 3:00,91.066,91.262,90.838,91.193,5703
2010/1/15 7:00,91.193,91.321,90.924,91.011,7242
2010/1/15 11:00,91.011,91.231,90.951,91.17,5658
2010/1/15 15:00,91.17,91.182,90.651,90.781,10938
2010/1/15 19:00,90.781,91.156,90.601,91.091,13463
2010/1/15 23:00,91.091,91.192,90.702,90.798,12118
2010/1/16 3:00,90.798,90.956,90.775,90.809,3558
2010/1/18 7:00,90.809,91.038,90.73,90.774,5476
2010/1/18 11:00,90.774,91.062,90.722,91.043,5595
2010/1/18 15:00,91.043,91.056,90.804,90.931,8255
2010/1/18 19:00,90.931,90.939,90.623,90.713,6704
