time,open,high,low,close,Volume
2016/7/25 10:00,106.562,106.723,106.244,106.253,25370
2016/7/25 14:00,106.253,106.417,106.008,106.341,31261
2016/7/25 18:00,106.341,106.36,106.087,106.144,18289
2016/7/25 22:00,106.144,106.201,105.842,105.857,31719
2016/7/26 2:00,105.857,106.146,105.74,105.796,22402
2016/7/26 6:00,105.796,105.891,104.905,104.942,41091
2016/7/26 10:00,104.942,105.052,104.272,104.322,48960
2016/7/26 14:00,104.322,104.52,103.993,104.287,55170
2016/7/26 18:00,104.287,104.48,104.208,104.316,39605
2016/7/26 22:00,104.316,104.906,104.268,104.787,53325
2016/7/27 2:00,104.787,104.976,104.595,104.618,27263
2016/7/27 6:00,104.618,105.185,104.614,105.15,29230
2016/7/27 10:00,105.15,106.541,105.026,105.289,92676
2016/7/27 14:00,105.289,106.126,105.123,105.549,62629
2016/7/27 18:00,105.549,105.819,105.346,105.658,36960
2016/7/27 22:00,105.658,105.884,105.529,105.693,41050
2016/7/28 2:00,105.693,106.041,105.149,105.385,44885
2016/7/28 6:00,105.385,105.423,104.637,104.774,33632
2016/7/28 10:00,104.774,105.303,104.619,104.774,44289
2016/7/28 14:00,104.774,104.875,104.472,104.79,42433
2016/7/28 18:00,104.79,104.863,104.638,104.854,30143
2016/7/28 22:00,104.854,104.941,104.678,104.854,37024
2016/7/29 2:00,104.854,105.503,104.776,105.25,31057
2016/7/29 6:00,105.25,105.332,103.349,104.382,61528
2016/7/29 10:00,104.382,105.608,102.703,103.286,144363
2016/7/29 14:00,103.286,103.971,103.123,103.752,85344
2016/7/29 18:00,103.752,103.775,102.75,102.85,41904
2016/7/29 22:00,102.85,103.036,102.122,102.35,68485
2016/7/30 2:00,102.35,102.35,101.971,102.01,25202
2016/8/1 6:00,102.28,102.547,102.007,102.351,31847
2016/8/1 10:00,102.351,102.683,102.298,102.376,28397
2016/8/1 14:00,102.376,102.614,102.21,102.237,26521
2016/8/1 18:00,102.237,102.494,102.126,102.448,28703
2016/8/1 22:00,102.448,102.497,102.115,102.239,29637
2016/8/2 2:00,102.239,102.439,102.196,102.385,13697
2016/8/2 6:00,102.385,102.466,102.226,102.342,17596
2016/8/2 10:00,102.342,102.83,102.287,102.432,25905
2016/8/2 14:00,102.432,102.541,101.452,101.734,62896
2016/8/2 18:00,101.734,101.832,101.299,101.314,29836
2016/8/2 22:00,101.314,101.356,100.68,100.753,48825
2016/8/3 2:00,100.753,100.946,100.678,100.89,17466
2016/8/3 6:00,100.89,101.278,100.856,101.231,17657
2016/8/3 10:00,101.231,101.345,100.748,101.072,28651
2016/8/3 14:00,101.072,101.282,100.88,101.14,44428
2016/8/3 18:00,101.14,101.374,101.011,101.085,31575
2016/8/3 22:00,101.085,101.571,101.081,101.339,39355
2016/8/4 2:00,101.339,101.342,101.091,101.231,13573
2016/8/4 6:00,101.231,101.365,101.195,101.272,14781
2016/8/4 10:00,101.272,101.33,100.861,101.278,30640
2016/8/4 14:00,101.278,101.665,101.274,101.481,37026
2016/8/4 18:00,101.481,101.481,101.071,101.123,38714
2016/8/4 22:00,101.123,101.219,101.0,101.125,28682
2016/8/5 2:00,101.125,101.241,101.118,101.205,9005
2016/8/5 6:00,101.205,101.365,101.138,101.246,11396
2016/8/5 10:00,101.246,101.303,101.055,101.149,19875
2016/8/5 14:00,101.149,101.16,100.871,100.953,20847
2016/8/5 18:00,100.953,101.594,100.891,101.56,38594
2016/8/5 22:00,101.56,102.066,101.46,101.769,46137
2016/8/6 2:00,101.769,101.821,101.715,101.792,12342
2016/8/8 6:00,101.974,102.255,101.858,102.098,21389
2016/8/8 10:00,102.098,102.147,101.93,102.005,16934
2016/8/8 14:00,102.005,102.332,101.984,102.28,23186
2016/8/8 18:00,102.28,102.488,102.247,102.483,20922
2016/8/8 22:00,102.483,102.655,102.434,102.57,23422
2016/8/9 2:00,102.57,102.586,102.358,102.436,8506
2016/8/9 6:00,102.436,102.493,102.271,102.365,13227
2016/8/9 10:00,102.365,102.528,102.313,102.35,14364
2016/8/9 14:00,102.35,102.512,102.304,102.326,19464
2016/8/9 18:00,102.326,102.345,102.032,102.113,16060
2016/8/9 22:00,102.113,102.14,101.806,101.948,28204
2016/8/10 2:00,101.948,101.962,101.788,101.867,9996
2016/8/10 6:00,101.867,101.957,101.255,101.495,20256
2016/8/10 10:00,101.495,101.502,101.157,101.281,26677
