time,open,high,low,close,Volume
2010/11/8 7:00,81.329,81.436,81.143,81.357,5071
2010/11/8 11:00,81.357,81.422,81.163,81.233,6415
2010/11/8 15:00,81.233,81.352,81.005,81.137,9354
2010/11/8 19:00,81.137,81.184,81.042,81.165,7190
2010/11/8 23:00,81.165,81.252,81.112,81.186,10464
2010/11/9 3:00,81.186,81.25,81.133,81.179,3627
2010/11/9 7:00,81.179,81.232,81.076,81.112,6385
2010/11/9 11:00,81.112,81.133,80.731,80.947,8207
2010/11/9 15:00,80.947,80.973,80.766,80.822,10772
2010/11/9 19:00,80.822,80.832,80.534,80.637,9534
2010/11/9 23:00,80.637,81.173,80.586,81.172,12376
2010/11/10 3:00,81.172,81.966,81.084,81.688,11835
2010/11/10 7:00,81.688,81.883,81.553,81.633,8119
2010/11/10 11:00,81.633,81.827,81.622,81.779,7063
2010/11/10 15:00,81.779,81.912,81.627,81.783,10433
2010/11/10 19:00,81.783,82.665,81.712,82.353,18644
2010/11/10 23:00,82.353,82.794,82.22,82.522,18158
2010/11/11 3:00,82.522,82.797,82.105,82.273,10066
2010/11/11 7:00,82.273,82.36,82.093,82.157,8293
2010/11/11 11:00,82.157,82.283,82.043,82.283,5187
2010/11/11 15:00,82.283,82.373,82.066,82.223,10591
2010/11/11 19:00,82.223,82.363,82.123,82.284,9245
2010/11/11 23:00,82.284,82.545,82.244,82.473,12273
2010/11/12 3:00,82.473,82.603,82.408,82.483,3804
2010/11/12 7:00,82.483,82.554,82.233,82.408,6950
2010/11/12 11:00,82.408,82.463,82.311,82.329,5677
2010/11/12 15:00,82.329,82.41,81.655,82.055,17894
2010/11/12 19:00,82.055,82.303,81.983,82.254,14181
2010/11/12 23:00,82.254,82.656,82.222,82.578,15806
2010/11/13 3:00,82.578,82.597,82.34,82.436,3646
2010/11/15 7:00,82.45,82.703,82.395,82.573,5039
2010/11/15 11:00,82.573,82.772,82.486,82.744,6005
2010/11/15 15:00,82.744,82.973,82.705,82.924,11667
2010/11/15 19:00,82.924,83.251,82.814,82.934,13585
2010/11/15 23:00,82.934,83.055,82.712,82.779,15050
2010/11/16 3:00,82.779,83.262,82.711,83.069,8163
2010/11/16 7:00,83.069,83.223,83.015,83.113,6553
2010/11/16 11:00,83.113,83.153,82.849,82.923,6574
2010/11/16 15:00,82.923,83.249,82.908,83.236,11057
2010/11/16 19:00,83.236,83.334,83.012,83.136,13143
2010/11/16 23:00,83.136,83.554,83.015,83.462,17678
2010/11/17 3:00,83.462,83.593,83.236,83.297,6772
2010/11/17 7:00,83.297,83.473,83.254,83.266,4821
2010/11/17 11:00,83.266,83.444,83.262,83.432,3708
2010/11/17 15:00,83.432,83.552,83.323,83.393,8024
2010/11/17 19:00,83.393,83.514,83.258,83.38,9884
2010/11/17 23:00,83.38,83.392,83.033,83.223,12234
2010/11/18 3:00,83.223,83.355,83.159,83.181,5395
