time,open,high,low,close,Volume
2011/1/3 15:00,81.254,81.436,81.222,81.427,5330
2011/1/3 19:00,81.427,81.539,81.356,81.535,6699
2011/1/3 23:00,81.535,81.735,81.502,81.549,8621
2011/1/4 3:00,81.549,81.744,81.524,81.734,3461
2011/1/4 7:00,81.734,81.942,81.612,81.863,4592
2011/1/4 11:00,81.863,82.157,81.855,82.142,4905
2011/1/4 15:00,82.142,82.282,82.073,82.124,10518
2011/1/4 19:00,82.124,82.269,81.999,82.193,10514
2011/1/4 23:00,82.193,82.255,81.682,81.804,12750
2011/1/5 3:00,81.804,82.079,81.804,82.04,5321
2011/1/5 7:00,82.04,82.206,81.972,82.132,4981
2011/1/5 11:00,82.132,82.137,81.883,82.032,3994
2011/1/5 15:00,82.032,82.123,81.915,82.036,9169
2011/1/5 19:00,82.036,83.069,82.002,82.917,14809
2011/1/5 23:00,82.917,83.354,82.892,83.213,17326
2011/1/6 3:00,83.213,83.377,83.163,83.247,6105
2011/1/6 7:00,83.247,83.392,83.173,83.267,5578
2011/1/6 11:00,83.267,83.324,83.159,83.167,5374
2011/1/6 15:00,83.167,83.254,82.883,83.035,11429
2011/1/6 19:00,83.035,83.225,83.022,83.05,11153
2011/1/6 23:00,83.05,83.282,82.91,83.152,15309
2011/1/7 3:00,83.152,83.364,83.134,83.302,6090
2011/1/7 7:00,83.302,83.362,83.233,83.3,4094
2011/1/7 11:00,83.3,83.537,83.243,83.518,5495
2011/1/7 15:00,83.518,83.593,83.464,83.523,7837
2011/1/7 19:00,83.523,83.686,82.931,83.07,14555
2011/1/7 23:00,83.07,83.327,82.852,82.94,16201
2011/1/8 3:00,82.94,83.054,82.91,83.035,4150
2011/1/10 7:00,83.035,83.258,82.945,82.97,3101
2011/1/10 11:00,82.97,83.137,82.955,83.122,2494
2011/1/10 15:00,83.122,83.28,83.081,83.182,5910
2011/1/10 19:00,83.182,83.272,83.022,83.042,9843
2011/1/10 23:00,83.042,83.072,82.665,82.742,14492
2011/1/11 3:00,82.742,82.823,82.691,82.717,4094
2011/1/11 7:00,82.717,83.097,82.683,82.942,6078
2011/1/11 11:00,82.942,83.142,82.942,83.022,5229
2011/1/11 15:00,83.022,83.167,83.022,83.144,7411
2011/1/11 19:00,83.144,83.157,82.905,83.054,9135
2011/1/11 23:00,83.054,83.494,82.966,83.326,15587
2011/1/12 3:00,83.326,83.383,83.184,83.239,6163
2011/1/12 7:00,83.239,83.41,83.21,83.237,5706
2011/1/12 11:00,83.237,83.302,83.08,83.122,3849
2011/1/12 15:00,83.122,83.153,82.981,83.077,8749
2011/1/12 19:00,83.077,83.462,83.06,83.385,13986
2011/1/12 23:00,83.385,83.409,83.083,83.165,14038
2011/1/13 3:00,83.165,83.182,82.808,82.981,7508
2011/1/13 7:00,82.981,83.152,82.956,83.093,4403
2011/1/13 11:00,83.093,83.097,82.961,83.062,3762
2011/1/13 15:00,83.062,83.137,82.952,83.005,9366
2011/1/13 19:00,83.005,83.093,82.544,82.719,14053
2011/1/13 23:00,82.719,82.923,82.632,82.704,16096
2011/1/14 3:00,82.704,82.862,82.698,82.803,6147
2011/1/14 7:00,82.803,82.838,82.682,82.724,2894
2011/1/14 11:00,82.724,82.724,82.483,82.537,5165
2011/1/14 15:00,82.537,82.931,82.411,82.85,11437
2011/1/14 19:00,82.85,82.983,82.727,82.824,12568
2011/1/14 23:00,82.824,83.044,82.507,82.943,15061
2011/1/15 3:00,82.943,83.066,82.922,82.988,4217
