time,open,high,low,close,Volume
2020/11/20 11:00,103.871,103.911,103.769,103.786,22285
2020/11/20 15:00,103.786,103.888,103.743,103.8,31440
2020/11/20 19:00,103.8,103.864,103.77,103.798,27130
2020/11/20 23:00,103.798,103.859,103.701,103.835,32789
2020/11/21 3:00,103.835,103.858,103.803,103.824,15467
2020/11/23 7:00,103.73,103.866,103.715,103.75,31497
2020/11/23 11:00,103.75,103.766,103.728,103.746,11314
2020/11/23 15:00,103.746,103.848,103.74,103.793,33122
2020/11/23 19:00,103.793,103.803,103.683,103.719,34704
2020/11/23 23:00,103.719,104.638,103.695,104.34,80276
2020/11/24 3:00,104.34,104.589,104.303,104.441,27786
2020/11/24 7:00,104.441,104.646,104.378,104.571,36935
2020/11/24 11:00,104.571,104.585,104.346,104.365,29057
2020/11/24 15:00,104.365,104.476,104.147,104.212,33161
2020/11/24 19:00,104.212,104.688,104.193,104.673,40088
2020/11/24 23:00,104.673,104.763,104.564,104.627,48492
2020/11/25 3:00,104.627,104.648,104.421,104.424,24937
2020/11/25 7:00,104.424,104.549,104.409,104.525,40515
2020/11/25 11:00,104.525,104.599,104.43,104.478,24922
2020/11/25 15:00,104.478,104.55,104.346,104.35,36714
2020/11/25 19:00,104.35,104.52,104.342,104.404,36261
2020/11/25 23:00,104.404,104.447,104.256,104.338,48540
2020/11/26 3:00,104.338,104.471,104.319,104.434,20783
2020/11/26 7:00,104.434,104.47,104.296,104.331,33256
2020/11/26 11:00,104.331,104.361,104.257,104.355,16662
2020/11/26 15:00,104.355,104.357,104.221,104.265,23878
2020/11/26 19:00,104.265,104.301,104.229,104.256,25636
2020/11/26 23:00,104.256,104.321,104.214,104.263,26674
2020/11/27 3:00,104.263,104.281,104.224,104.227,59860
2020/11/27 7:00,104.227,104.278,104.001,104.029,23617
2020/11/27 11:00,104.029,104.106,103.905,103.942,21575
2020/11/27 15:00,103.942,104.107,103.936,104.036,20420
2020/11/27 19:00,104.036,104.214,104.011,104.156,24860
2020/11/27 23:00,104.156,104.181,103.966,104.031,29679
2020/11/28 3:00,104.031,104.127,104.019,104.041,15863
2020/11/30 7:00,104.008,104.161,103.833,103.867,25810
2020/11/30 11:00,103.867,103.94,103.847,103.858,19587
2020/11/30 15:00,103.858,104.352,103.837,104.035,36667
2020/11/30 19:00,104.035,104.191,103.91,104.172,35857
2020/11/30 23:00,104.172,104.388,104.07,104.286,60008
2020/12/1 3:00,104.286,104.411,104.248,104.297,25189
2020/12/1 7:00,104.297,104.373,104.245,104.354,29476
2020/12/1 11:00,104.354,104.463,104.323,104.377,21156
2020/12/1 15:00,104.377,104.39,104.181,104.279,29336
2020/12/1 19:00,104.279,104.436,104.275,104.334,30878
