time,open,high,low,close,Volume
2018/12/14 11:00,113.462,113.519,113.421,113.468,22366
2018/12/14 15:00,113.468,113.621,113.453,113.52,44091
2018/12/14 19:00,113.52,113.655,113.509,113.636,48708
2018/12/14 23:00,113.636,113.675,113.295,113.333,71064
2018/12/15 3:00,113.333,113.408,113.211,113.377,33992
2018/12/17 7:00,113.338,113.5,113.306,113.463,50755
2018/12/17 11:00,113.463,113.522,113.441,113.477,25018
2018/12/17 15:00,113.477,113.489,113.331,113.341,38991
2018/12/17 19:00,113.341,113.358,113.105,113.128,44447
2018/12/17 23:00,113.128,113.142,112.791,112.802,74780
2018/12/18 3:00,112.802,112.86,112.681,112.826,51458
2018/12/18 7:00,112.826,112.856,112.666,112.718,44868
2018/12/18 11:00,112.718,112.727,112.47,112.592,39987
2018/12/18 15:00,112.592,112.655,112.288,112.4,48693
2018/12/18 19:00,112.4,112.451,112.25,112.42,44118
2018/12/18 23:00,112.42,112.631,112.418,112.59,66339
2018/12/19 3:00,112.59,112.625,112.466,112.518,53519
2018/12/19 7:00,112.518,112.605,112.189,112.475,54493
2018/12/19 11:00,112.475,112.484,112.252,112.355,32724
2018/12/19 15:00,112.355,112.441,112.273,112.357,35756
2018/12/19 19:00,112.357,112.397,112.313,112.336,33425
2018/12/19 23:00,112.336,112.338,112.088,112.202,57875
2018/12/20 3:00,112.202,112.665,112.153,112.473,141155
2018/12/20 7:00,112.473,112.604,112.352,112.494,46114
2018/12/20 11:00,112.494,112.514,112.011,112.078,57664
2018/12/20 15:00,112.078,112.1,111.692,111.704,96684
2018/12/20 19:00,111.704,111.832,111.561,111.612,78958
2018/12/20 23:00,111.612,111.727,111.02,111.173,134519
2018/12/21 3:00,111.173,111.311,110.813,111.278,98960
2018/12/21 7:00,111.278,111.316,111.086,111.221,46155
2018/12/21 11:00,111.221,111.447,111.142,111.445,47176
2018/12/21 15:00,111.445,111.459,111.047,111.166,73842
2018/12/21 19:00,111.166,111.278,111.116,111.159,76134
2018/12/21 23:00,111.159,111.367,110.933,111.339,138507
2018/12/22 3:00,111.339,111.45,111.19,111.204,61412
2018/12/24 7:00,110.93,111.191,110.93,111.061,69085
2018/12/24 11:00,111.061,111.131,111.034,111.117,34254
2018/12/24 15:00,111.117,111.125,110.925,111.093,66434
2018/12/24 19:00,111.093,111.155,110.592,110.648,85844
2018/12/24 23:00,110.648,110.655,110.267,110.37,145436
2018/12/25 3:00,110.37,110.403,110.28,110.33,39423
