time,open,high,low,close,Volume,Volume MA
2010-01-04T07:00:00+09:00,93.081,93.096,92.692,92.981,7660,NaN
2010-01-04T11:00:00+09:00,92.981,92.981,92.72,92.872,5967,NaN
2010-01-04T15:00:00+09:00,92.872,93.214,92.722,92.804,12737,NaN
2010-01-04T19:00:00+09:00,92.804,92.944,92.612,92.643,8288,NaN
2010-01-04T23:00:00+09:00,92.643,92.726,92.19,92.692,12603,NaN
2010-01-05T03:00:00+09:00,92.692,92.692,92.479,92.483,3544,NaN
2010-01-05T07:00:00+09:00,92.483,92.55,92.122,92.272,6441,NaN
2010-01-05T11:00:00+09:00,92.272,92.306,91.634,91.682,9308,NaN
2010-01-05T15:00:00+09:00,91.682,92.118,91.682,91.877,10235,NaN
2010-01-05T19:00:00+09:00,91.877,92.159,91.692,91.758,9596,NaN
2010-01-05T23:00:00+09:00,91.758,91.844,91.251,91.562,12722,NaN
2010-01-06T03:00:00+09:00,91.562,91.752,91.512,91.675,4643,NaN
2010-01-06T07:00:00+09:00,91.675,91.965,91.522,91.778,6964,NaN
2010-01-06T11:00:00+09:00,91.778,92.131,91.752,92.061,6012,NaN
2010-01-06T15:00:00+09:00,92.061,92.362,91.952,92.339,12373,NaN
2010-01-06T19:00:00+09:00,92.339,92.504,92.061,92.182,9757,NaN
2010-01-06T23:00:00+09:00,92.182,92.741,92.125,92.493,12598,NaN
2010-01-07T03:00:00+09:00,92.493,92.62,92.263,92.307,6049,NaN
2010-01-07T07:00:00+09:00,92.307,92.462,92.198,92.281,6050,NaN
2010-01-07T11:00:00+09:00,92.281,92.342,92.115,92.201,5545,8454.6
2010-01-07T15:00:00+09:00,92.201,92.894,92.105,92.875,14920,8817.6
2010-01-07T19:00:00+09:00,92.875,93.403,92.834,93.067,13323,9185.4
2010-01-07T23:00:00+09:00,93.067,93.336,92.964,93.159,10663,9081.7
2010-01-08T03:00:00+09:00,93.159,93.359,93.073,93.359,5685,8951.55
2010-01-08T07:00:00+09:00,93.359,93.768,93.2,93.319,9763,8809.55
2010-01-08T11:00:00+09:00,93.319,93.37,93.133,93.325,6000,8932.35
2010-01-08T15:00:00+09:00,93.325,93.447,92.836,93.122,9916,9106.1
2010-01-08T19:00:00+09:00,93.122,93.471,92.275,92.369,12210,9251.2
2010-01-08T23:00:00+09:00,92.369,93.258,92.332,92.597,17122,9595.55
2010-01-09T03:00:00+09:00,92.597,92.706,92.462,92.619,4153,9323.4
2010-01-11T07:00:00+09:00,92.619,92.625,92.215,92.336,4377,8906.15
2010-01-11T11:00:00+09:00,92.336,92.434,92.179,92.221,3705,8859.25
2010-01-11T15:00:00+09:00,92.221,92.553,92.187,92.472,7785,8900.3
2010-01-11T19:00:00+09:00,92.472,92.562,92.328,92.403,6456,8922.5
2010-01-11T23:00:00+09:00,92.403,92.665,91.812,92.052,12955,8951.6
2010-01-12T03:00:00+09:00,92.052,92.152,91.879,92.071,4615,8694.5
2010-01-12T07:00:00+09:00,92.071,92.295,91.823,91.835,5916,8360.4
2010-01-12T11:00:00+09:00,91.835,92.425,91.835,92.223,8116,8463.75
2010-01-12T15:00:00+09:00,92.223,92.296,91.711,91.812,12227,8772.6
2010-01-12T19:00:00+09:00,91.812,91.864,91.335,91.342,13262,9158.45
2010-01-12T23:00:00+09:00,91.342,91.383,90.725,90.806,15894,9207.15
2010-01-13T03:00:00+09:00,90.806,91.032,90.799,90.966,5746,8828.3
2010-01-13T07:00:00+09:00,90.966,91.353,90.905,91.022,7523,8671.3
2010-01-13T11:00:00+09:00,91.022,91.193,90.93,91.116,6087,8691.4
2010-01-13T15:00:00+09:00,91.116,91.495,90.99,91.423,11847,8795.6
